stage_name,description
Festival Stage,Main outdoor stage featuring top headliners and popular artists
Shell Gentilly Stage,Contemporary and diverse music performances
Congo Square Stage,Jazz and funk performances
WWOZ Jazz Tent,Jazz-focused performances from local and touring musicians
Blues Tent,Blues and soul performances
Economy Hall Tent,Traditional New Orleans music and jazz
Sheraton New Orleans Fais Do-Do Stage,Cajun and Zydeco music showcase
Jazz & Heritage Stage,Jazz and heritage performances
Gospel Tent,Gospel and spiritual music performances
Lagniappe Stage,Diverse programming and emerging artists
Rhythmpourium Tent,Reggae and Caribbean music
Ochsner Children's Tent,Family-friendly performances
Allison Miner Music Heritage Stage,Traditional and heritage music performances
Sandals Resorts Jamaica Cultural Exchange Pavilion,Jamaican and Caribbean artists
